,sentences1,sentences2,is_similar
91,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?","National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0
92,What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,1
93,What causes a nightmare?,What causes nightmares that seem real?,1
94,What is abstract expressionism in painting?,What are some of the major influences of abstract expressionism?,0
95,How does 3D printing work?,How do 3D printing work?,1
96,What was it like to attend Caltech with Jeremy Ehrhardt?,Who are some notable folks who attended Caltech?,0
97,Why did harry become a horcrux?,What is a Horcrux?,0
98,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0
99,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0
100,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,Will there be a nuclear war between India and Pakistan?,1
101,Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0
102,What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0
103,Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,0
104,Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1
105,Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0
106,Have you ever heard of travel hacking?,Can WhatsApp be hacked?,0
107,What's the difference between love and pity?,What is the difference between love and pity?,1
108,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0
109,How Google helps in spam ranking adjustment of the search results?,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",0
110,Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0
111,Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0
112,How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,0
113,What do you think China food?,How do you think of Chinese food?,1
114,What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0
115,Why do we cry when we are happy and when we are sad?,Why do we cry?,0
116,Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0
117,"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0
118,What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0
119,Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,0
120,Why my question was marked as needing imrovement?,How can I ask a question without getting marked as ‘need to improve’?,1
121,What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?",0
122,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1
123,What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0
124,What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,0
125,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",Why does China support Masood Azhar?,1
126,What is the mean of future budget?,What is the meaning of the future?,0
127,Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,1
128,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0
129,How do I access Torbox in India?,How do I access Google.com from India?,0
130,What are some yakshini mantras?,What is a Yantra & Mantra?,0
131,Was six party talks successful?,Which course is better in NICMAR?,0
132,How do I register my domain site email?,How do you register a .an domain?,0
133,Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,0
134,What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,0
135,Who are the Rohingya Muslims?,Who are the Rohingya people?,1
136,Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,1
137,Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0
138,How i get hair on bald head?,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",0
139,What is the ideal life after retirement?,What's life after retirement?,0
140,What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0
141,What are good websites for escorts?,How do I find a good escort?,0
142,Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,0
143,Does a black hole have mass?,Does a black hole have a finite mass?,1
144,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,1
145,Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0
146,How would you review the site Waveclues?,Is there a good pay for reviews site out there?,0
147,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0
148,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0
149,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0
150,How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0
151,How can I stop being afraid of working?,How do you stop being afraid of everything?,0
152,Why does Red keep the keys in OITNB?,Why does Red keep the keys in season 4 of Orange is the New Black?,1
153,At what age should someone lose their virginity?,"At what age, how, and where did you lose your virginity?",0
154,How forgetful are you?,How can I forget my wife?,0
155,Could Snoke secretly be Darth Maul?,How could snoke be darth plagueis if he was killed by the emperor?,0
156,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,1
157,Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0
158,What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1
159,Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,1
160,What is the funniest joke you know?,What is the funniest joke of all time?,1
161,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0
162,What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0
163,How do I use Twitter as a business source?,How can I use Twitter for business?,1
164,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0
165,Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1
166,Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0
167,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?",0
168,Which are the best engineering fields?,What is the best field of engineering?,1
169,How do you make life suit you and stop life from abusing you mentally and emotionally?,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",0
170,What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0
171,Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0
172,What is the best way to gain confidence?,How can I speak with more clarity and confidence?,0
173,Does anyone see the relation between Greek gods and Hindu gods?,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",1
174,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0
175,Which is the best fixed income fund?,What is the best fixed income fund?,1
176,What is it like to live in Cologne?,"What is it like to live in Köln, Germany? ",1
177,"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0
178,Why does some people prefer small families.?,Why do some people prefer to live with small family?,1
179,Do animals kiss?,Do animals (besides humans) kiss?,1
180,How do you get deleted Instagram chats?,How can I view deleted Instagram dms?,1
181,How can I stop being addicted to love?,How do I stop being addicted to someone?,0
182,What if I hired two private eyes and ordered them to follow each other?,Would I be able to hire two private investigators and then get them to follow each other?,1
183,How do I find a startup accelerator?,How do startup accelerators give you the funding?,0
184,How can I check wifi history and access it through android phones?,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,0
185,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",1
186,What is the most creative college admissions essay you've read?,Has any college admission officer cried in public while reading an applicant's essay?,0
187,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",What happens if eye medicine enters the eye?,0
188,Is it possible to pursue many different things in life?,How do I refuse to chose between different things to do in my life?,1
189,Did Ben Affleck shine more than Christian Bale as Batman?,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",1
190,Which business is good start up in Hyderabad?,Which business is better to start in Hyderabad?,1
191,How can I stop being so possessive?,How do I stop being over possessive for a person whom I love?,1
192,Who was the wife of Lord Krishna?,Who is the father of lord Krishna?,0
193,What is the best combination of courses I can take up along with CA to enhance my career?,What courses must be taken along with CA course?,1
194,How do you take a screenshot on a Mac laptop?,How do I take a screenshot on my MacBook Pro? What are some instructions?,1
195,What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0
196,Which psychological need does 'collecting' fulfill?,Why do people collect things?,0
197,What are some must watch TV shows before you die?,Are there any must watch TV shows?,1
198,How can I become more fluent in Chinese?,How can I become fluent in chinese?,1
199,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,1
200,What is the easiest way to become a billionaire($)?,What is the best way to become a billionaire?,1
201,Are there People who are willing to give free lectures or conduct free workshop in India colleges?,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",0
202,What's the best way to start learning robotics?,What is the best way to start robotics? Which is the best development board that I can start working on it?,0
203,Why do people hate Hillary Clinton?,What are the reasons that people dislike Hillary Clinton?,1
204,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",0
205,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?","Is atheism the lack of belief in gods, or a claim that god does not exist?",0
206,What is it like to be Jack Dorsey?,What is Jack Dorsey like?,0
207,What are the best quotes/lessons of the Assassin's Creed series?,Which assassin has the best robes in Assassin's Creed?,0
208,"Do inkjet printers use color ink when printing black and white documents? If so, why?","If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?",0
209,Why is creativity important?,Why creativity is important?,1
210,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,1
211,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,Why don't phones have a built-in FM antenna?,0
212,What are the best career growth technologies for automation engineers apart from automation tools?,Himalayan or Duke KTM 200 for touring?,0
213,What are the disadvantages of listing a company in NSE?,What are the benefits of listing a company in NSE?,0
214,How many derivatives of an object's position with respect to time have to be continuous?,When does drawing become fun?,0
215,Is the neutron star made up of?,Is the neutron star made up of only neutrons?,1
216,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?,Is a 3.8 GPA sufficient to get into a top school?,1
217,What is a profitable way to trade binary options?,What is binary options trading?,0
218,How do I utilize free time to avoid depression?,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,0
219,How can I learn computer security?,How can I get started to learn information security?,1
220,How do I earn from Quora?,Can I earn money on Quora?,1
221,What is my puk code?,What's the PUK for TF64SIMC4?,1
222,How can I find job in Japan?,How can I find an IT job in Japan?,0
223,"What are some examples of sentences using the word ""hysteria""?",What is the best home wireless network setup and expected speeds?,0
224,Will there be another billion dollar lottery Jackpot?,When will the lottery reach the next billion dollar jackpot?,1
225,How scary is it to drive on the road to Hana given all of the turns?,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,0
226,How do I create a new shell in a new terminal using C programming (Linux terminal)?,How do I create a new Terminal and new shell in Linux using C programming?,1
227,Does cognition affect perception?,Does cognitive strain affect digestion?,0
228,How TQWL is different from CKWL (Tatkal waiting list)?,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,0
229,How can we make the world a better place to live in for the future generations?,What can I do to make the world a better place?,1
230,How many Champions are there in League of Legends?,Who is the best LoL (League of Legends) champion?,0
231,Is drinking 4 liters of water each day unhealthy?,How many liters of water should I drink if I run 5kms daily?,0
232,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?","Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?",0
233,Do porn stars watch porn?,How can I book Ronda Rousey to star in an adult movie?,0
234,"Trump supporters, how do you feel about the way he's walking back his promises?",Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,0
235,Why are we worried about others' opinions?,Why do we care for others' opinion and about what others think about us?,1
236,How do you potty train a 4 months Pitbull?,How do I potty train my two-month-old Labrador pup?,1
237,"If I jump rope for five minutes, how many calories will I use?",What's the best way to jump rope?,0
238,Which online test series is best for GATE 2017 in CS stream?,Which test series is the best for GATE computer science stream?,1
239,What is the best material for understanding algorithmic analysis by a newbie?,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,0
240,What is the temperament of a Bullmastiff/Husky mix?,What is the temperament of a Corgi-Husky mix?,0
241,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?","How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?",0
242,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?","In ""A Raisin in the Sun"", why do Walter and Beneatha argue?",1
243,What are the signs of an ultra smart person playing dumb?,What are signs of ultra smart people hiding their intelligence?,1
244,If dark energy is created with expansion can infinite of it be created?,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1
245,How do you get a book published?,What are the good ways to write and publish a book?,0
246,Who is disrupting Bloomberg?,Who will disrupt Bloomberg?,1
247,Why can flash run so fast?,The Flash (DC character): How fast can the Flash run a mile?,0
248,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest ₹5000 over the next 6 months?,0
249,How will the implementation of GST bill impact the lives of common people?,What exactly is GST bill and how exactly will it affect the common people?,1
250,How can you recover your Gmail password?,"I do not remember my password to my Gmail account, how can I recover my account?",1
251,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,1
252,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0
253,What are the qualities of a good leader?,What are some good qualities of a leader?,1
254,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0
255,Will Modi win in 2019?,Can Narendra Modi become Prime Minister of India in 2019?,1
256,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0
257,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0
258,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,0
259,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,0
260,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,1
261,How do I choose a journal to publish my paper?,Where do I publish my paper?,1
262,What are your New Year's resolutions for 2017?,What is your creative New Year's resolution for 2017?,1
263,What do you do if you had a bad dream?,How do you not get bad dreams?,0
264,Why do Slavs squat?,Do squats work for men?,0
265,How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,0
266,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,0
267,How many months does it take to gain knowledge in developing Android apps from scratch?,How much time does it take to learn Android app development from scratch?,1
268,How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?",0
269,What are the rights of a prisoner?,"If I am in prison, what rights would I have?",1
270,How can I get free gems in Clash of Clans?,How can I get free gems Clash of Clans?,1
271,Why aren't there more apps like Word Lens?,What does Word Lens use for OCR?,0
272,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",0
273,What is the best way to get traffic on your website?,How do i get traffic for website?,1
274,How do you feel when someone upvotes your answer on Quora?,How does it feel to see upvotes to your answer on Quora?,1
275,What are some of the best films and TV shows that feature strong female protagonists?,What are the best female strong characters in films?,1
276,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0
277,How do most people die?,How do people die?,0
278,Why are most clothes made of polyester now instead of cotton?,How are cotton clothes made?,0
279,What is in bone marrow?,What does bone marrow taste like?,0
280,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0
281,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?",1
282,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,0
283,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
284,How can I make money online with free of cost?,How do I to make money online?,1
285,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1
286,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,1
287,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,1
288,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
289,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
290,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
291,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1
292,What is CPAGrip.com?,What is bestmytest.com?,0
293,How much funds should I raise?,How much money should I raise?,1
294,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
295,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
296,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,1
297,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
298,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
299,What the meaning of this all life?,What's are the meaning of life?,1
300,How should I start small business effectively?,How should I start a small business in construction?,0
301,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
302,Do you need friends?,Why do we need friends?,0
303,Do I exist?,Do we exist?,0
304,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1
305,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
306,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
307,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,1
308,Which are the best books to understand calculus?,What are good books to self study calculus?,1
